"Source:","/home/hitesh/KICAD/projects/MOTBOX_TOP/motbox_with_promini/motbox_with_promini_v1_2.sch"
"Date:","Wed Jun  5 12:59:29 2019"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","100uF,25V","CP1_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, small US symbol",""
"C2, ","1","1000uF,16V","CP1_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, small US symbol",""
"D1, ","1","SS34","D_Schottky","Diode_SMD:D_SMC","Schottky diode",""
"J2, ","1","Header_3pin_Male","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","JST_XH_4pin","Conn_01x04","Connector_JST:JST_XH_B04B-XH-A_1x04_P2.50mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, J7, J1, J3, ","4","JST_XH_2pin","Conn_01x02","Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","JST_XH_3pin","Conn_01x03","Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","SRN6045-101M","L_Small","Inductor_SMD:L_Bourns_SRN6045TA","Inductor, small symbol",""
"P1, P5, ","2","Female_Header_12pin","Conn_01x12","Socket_Arduino_Pro_Mini:Socket_Strip_Arduino_1x12","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P3, ","1","Female_Header_6pin","Conn_01x06","Socket_Arduino_Pro_Mini:Socket_Strip_Arduino_1x06","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PCB1, ","1","Arduino_Pro_mini_5V_16MHz","AnyPCB","","",""
"R1, ","1","60K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R2, R5, ","2","150R","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R3, R4, R8, R7, ","4","100K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R6, ","1","10K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"U1, ","1","LM2576R-5.0","LM2576","Package_TO_SOT_SMD:TO-263-5_TabPin3","12V, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-263",""
"U2, ","1","LM393","LM393","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/SSOP-8",""
"U3, ","1","L293D","L293D","Package_DIP:DIP-16_W7.62mm","Quadruple Half-H Drivers",""
