S.No,Manufacturing Part No,Designator,Quantity,Description(VALUE),Package(CASE),Top/Bottom,Points (No. of Pins),Comments,,
1,  , "C1, " , "1" , "100uF,25V" , "Capacitor_THT:CP_Radial_D6.3mm_P2.50mm" , TOP , 2, "Polarized capacitor, small US symbol", , 
2,  , "C2, " , "1" , "1000uF,16V" , "Capacitor_THT:CP_Radial_D10.0mm_P5.00mm" , TOP , 2, "Polarized capacitor, small US symbol", , 
3,  , "D1, " , "1" , "SS34" , "Diode_SMD:D_SMC" , TOP , 2, "Schottky diode", , 
4,  , "J2, " , "1" , "Header_3pin_Male" , "Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical" , TOP , 3, "Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
5,  , "J4, " , "1" , "JST_XH_4pin" , "Connector_JST:JST_XH_B04B-XH-A_1x04_P2.50mm_Vertical" , TOP , 4, "Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
6,  , "J5, J7, J1, J3, " , "4" , "JST_XH_2pin" , "Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical" , TOP , 2, "Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
7,  , "J6, " , "1" , "JST_XH_3pin" , "Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical" , TOP , 3, "Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
8,  , "L1, " , "1" , "SRN6045-101M" , "Inductor_SMD:L_Bourns_SRN6045TA" , TOP , 2, "Inductor, small symbol", , 
9,  , "P1, P5, " , "2" , "Female_Header_12pin" , "Socket_Arduino_Pro_Mini:Socket_Strip_Arduino_1x12" , TOP , 12, "Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
10,  , "P3, " , "1" , "Female_Header_6pin" , "Socket_Arduino_Pro_Mini:Socket_Strip_Arduino_1x06" , TOP , 6, "Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)", , 
11,  , "R1, " , "1" , "60K" , "Resistor_SMD:R_1206_3216Metric" , TOP , 2, "Resistor, US symbol", , 
12,  , "R2, R5, " , "2" , "150R" , "Resistor_SMD:R_1206_3216Metric" , TOP , 2, "Resistor, US symbol", , 
13,  , "R3, R4, R8, R7, " , "4" , "100K" , "Resistor_SMD:R_1206_3216Metric" , TOP , 2, "Resistor, US symbol", , 
14,  , "R6, " , "1" , "10K" , "Resistor_SMD:R_1206_3216Metric" , TOP , 2, "Resistor, US symbol", , 
15,  , "U1, " , "1" , "LM2576R-5.0" , "Package_TO_SOT_SMD:TO-263-5_TabPin3" , TOP , 5, "12V, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-263", , 
16,  , "U2, " , "1" , "LM393" , "Package_SO:SOIC-8_3.9x4.9mm_P1.27mm" , TOP , 8, "Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/SSOP-8", , 
17,  , "U3, " , "1" , "L293D" , "Package_DIP:DIP-16_W7.62mm" , TOP , 16, "Quadruple Half-H Drivers", , 
